url,img_desc,img_url,apartado,lote,descripcion
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18258/26a-subasta-online-24-05-16,['Banco de España · Bilbao. 25 Pesetas. 1 Enero 1937...'],['http://subastas.numismaticaycoleccionismo.es/imagenes/26861_a.jpg'],"GUERRA CIVIL-ZONA REPUBLICANA, BANCO DE ESPAÑA",Lot 66,"Banco de España · Bilbao. 25 Pesetas. 1 Enero 1937. Sin serie. Lote de 5 billetes. Tres antefirmas diferentes. ED.C39A, B Y C. Uno de ellos con tampón en tinta. MBC"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18259/26a-subasta-online-24-05-16,['Banco de España · Bilbao. 50 Pesetas. 1 Enero 1937...'],['http://subastas.numismaticaycoleccionismo.es/imagenes/26863_a.jpg'],"GUERRA CIVIL-ZONA REPUBLICANA, BANCO DE ESPAÑA",Lot 67,"Banco de España · Bilbao. 50 Pesetas. 1 Enero 1937. Sin serie. Lote de 3 billetes. Antefirmas diferentes. ED.C40A, C Y D. MBC+/MBC"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18260/26a-subasta-online-24-05-16,['Banco de España · Bilbao. 100 Pesetas. 1 Enero 1937...'],['http://subastas.numismaticaycoleccionismo.es/imagenes/26860_a.jpg'],"GUERRA CIVIL-ZONA REPUBLICANA, BANCO DE ESPAÑA",Lot 68,Banco de España · Bilbao. 100 Pesetas. 1 Enero 1937. Sin serie. Lote de 4 billetes. Antefirmas B. Bilbao y B. Vizcaya (3). ED.C41A Y B. MBC-
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18261/26a-subasta-online-24-05-16,"['Banco de España · Bilbao. 1000 Pesetas...', 'Banco de España · Bilbao. 1000 Pesetas...']","['http://subastas.numismaticaycoleccionismo.es/imagenes/27048_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/27048_b.jpg']","GUERRA CIVIL-ZONA REPUBLICANA, BANCO DE ESPAÑA",Lot 69,Banco de España · Bilbao. 1000 Pesetas. 1 Enero 1937. Sin serie. Con matriz y sin numeración. ED.NE27B. SC
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18262/26a-subasta-online-24-05-16,['50 Céntimos. Emisión 1937. Lote de 3 billetes...'],['http://subastas.numismaticaycoleccionismo.es/imagenes/27057_a.jpg'],"GUERRA CIVIL-ZONA REPUBLICANA, BANCO DE ESPAÑA",Lot 70,"50 Céntimos. Emisión 1937. Lote de 3 billetes. Serie A, B y C. ED.C42/A. SC"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18263/26a-subasta-online-24-05-16,"['Banco de España · Gijón. 100 Pesetas. Septiembre 1937...', 'Banco de España · Gijón. 100 Pesetas. Septiembre 1937...']","['http://subastas.numismaticaycoleccionismo.es/imagenes/26867_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26867_b.jpg']","GUERRA CIVIL-ZONA REPUBLICANA, BANCO DE ESPAÑA",Lot 71,"Banco de España · Gijón. 100 Pesetas. Septiembre 1937. Sin serie. ED.C50. Mancha en pico superior izq., si no EBC-"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18264/26a-subasta-online-24-05-16,"['Lote de 8 billetes. 25 Pesetas 1936, 1946, 1954, 100 Pesetas 1936, 1938, 1940, 1948 (sin serie y serie C)...']",['http://subastas.numismaticaycoleccionismo.es/imagenes/26911_a.jpg'],"ESTADO ESPAÑOL, BANCO DE ESPAÑA",Lot 72,"Lote de 8 billetes. 25 Pesetas 1936, 1946, 1954, 100 Pesetas 1936, 1938, 1940, 1948 (sin serie y serie C). Algunas con roturas. MBC- a RC"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18265/26a-subasta-online-24-05-16,"['Lote de 8 billetes. Peseta 1937, Febrero 1938, Junio 1940, 1943, 1945, 1948, 1951 y 1953...']",['http://subastas.numismaticaycoleccionismo.es/imagenes/26907_a.jpg'],"ESTADO ESPAÑOL, BANCO DE ESPAÑA",Lot 73,"Lote de 8 billetes. Peseta 1937, Febrero 1938, Junio 1940, 1943, 1945, 1948, 1951 y 1953. MBC+ a RC"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18266/26a-subasta-online-24-05-16,"['Lote de 9 billetes. 5 Pesetas Septiembre 1940, 1943 (sin serie), 1945 (2), 1947, 1948, 1951 (2), 1954 (escrito a tinta)...']",['http://subastas.numismaticaycoleccionismo.es/imagenes/26909_a.jpg'],"ESTADO ESPAÑOL, BANCO DE ESPAÑA",Lot 74,"Lote de 9 billetes. 5 Pesetas Septiembre 1940, 1943 (sin serie), 1945 (2), 1947, 1948, 1951 (2), 1954 (escrito a tinta). SC- a BC-"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18267/26a-subasta-online-24-05-16,"['Lote de 8 billetes. 25 Pesetas 1954, 50 Pesetas 1951, 100 Pesetas 1953, 1965 y 1970, 500 Pesetas 1951 y 1954, 1000 Pesetas 1965...']",['http://subastas.numismaticaycoleccionismo.es/imagenes/26908_a.jpg'],"ESTADO ESPAÑOL, BANCO DE ESPAÑA",Lot 75,"Lote de 8 billetes. 25 Pesetas 1954, 50 Pesetas 1951, 100 Pesetas 1953, 1965 y 1970, 500 Pesetas 1951 y 1954, 1000 Pesetas 1965. EBC- a MBC"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18268/26a-subasta-online-24-05-16,"['Lote de 9 billetes. 2 Pesetas 1938, 50 Pesetas 1938 y 1940, 100 Pesetas 1936, 1946 y 1948, 500 Pesetas 1938 (rotura y falta de papel), 1951 y 1000 Pesetas 1946...']",['http://subastas.numismaticaycoleccionismo.es/imagenes/26914_a.jpg'],"ESTADO ESPAÑOL, BANCO DE ESPAÑA",Lot 76,"Lote de 9 billetes. 2 Pesetas 1938, 50 Pesetas 1938 y 1940, 100 Pesetas 1936, 1946 y 1948, 500 Pesetas 1938 (rotura y falta de papel), 1951 y 1000 Pesetas 1946. Alguno con roturas, si no BC+ a RC. Comercial"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18269/26a-subasta-online-24-05-16,"['1 Peseta. Lote de 4 billetes. 1938 (descolorida), 1948, 1951 y 1953 (sin serie)...']",['http://subastas.numismaticaycoleccionismo.es/imagenes/26868_a.jpg'],"ESTADO ESPAÑOL, BANCO DE ESPAÑA",Lot 77,"1 Peseta. Lote de 4 billetes. 1938 (descolorida), 1948, 1951 y 1953 (sin serie). MBC/BC+"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18270/26a-subasta-online-24-05-16,"['5 Pesetas. Burgos, 21 Noviembre 1936. Sin serie...', '5 Pesetas. Burgos, 21 Noviembre 1936. Sin serie...']","['http://subastas.numismaticaycoleccionismo.es/imagenes/26784_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26784_b.jpg']","ESTADO ESPAÑOL, BANCO DE ESPAÑA",Lot 78,"5 Pesetas. Burgos, 21 Noviembre 1936. Sin serie. ED.D18. Doblado en ocho partes y celo central. Raro. RC"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18271/26a-subasta-online-24-05-16,"['10 Pesetas. Burgos, 21 Noviembre 1936. Sin serie...', '10 Pesetas. Burgos, 21 Noviembre 1936. Sin serie...']","['http://subastas.numismaticaycoleccionismo.es/imagenes/26899_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26899_b.jpg']","ESTADO ESPAÑOL, BANCO DE ESPAÑA",Lot 79,"10 Pesetas. Burgos, 21 Noviembre 1936. Sin serie. ED.D19. Doblez central y alguna arruga pero manteniendo apresto, si no EBC-. Muy buen y raro ejemplar"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18272/26a-subasta-online-24-05-16,"['10 Pesetas. Burgos, 21 Noviembre 1936. Sin serie...', '10 Pesetas. Burgos, 21 Noviembre 1936. Sin serie...']","['http://subastas.numismaticaycoleccionismo.es/imagenes/26783_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26783_b.jpg']","ESTADO ESPAÑOL, BANCO DE ESPAÑA",Lot 80,"10 Pesetas. Burgos, 21 Noviembre 1936. Sin serie. ED.D19. Muy raro. MBC+"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18273/26a-subasta-online-24-05-16,"['10 Pesetas. Burgos, 21 Noviembre 1936. Sin serie...', '10 Pesetas. Burgos, 21 Noviembre 1936. Sin serie...']","['http://subastas.numismaticaycoleccionismo.es/imagenes/26900_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26900_b.jpg']","ESTADO ESPAÑOL, BANCO DE ESPAÑA",Lot 81,"10 Pesetas. Burgos, 21 Noviembre 1936. Sin serie. ED.D19. Muy raro. MBC+"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18274/26a-subasta-online-24-05-16,"['25 Pesetas. Burgos, 21 Noviembre 1936. Serie M...', '25 Pesetas. Burgos, 21 Noviembre 1936. Serie M...']","['http://subastas.numismaticaycoleccionismo.es/imagenes/26785_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26785_b.jpg']","ESTADO ESPAÑOL, BANCO DE ESPAÑA",Lot 82,"25 Pesetas. Burgos, 21 Noviembre 1936. Serie M. ED.D20A. Escaso así. SC"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18275/26a-subasta-online-24-05-16,"['25 Pesetas. Burgos, 21 Noviembre 1936. Lote de 2 billetes...', '25 Pesetas. Burgos, 21 Noviembre 1936. Lote de 2 billetes...']","['http://subastas.numismaticaycoleccionismo.es/imagenes/26940_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26940_b.jpg']","ESTADO ESPAÑOL, BANCO DE ESPAÑA",Lot 83,"25 Pesetas. Burgos, 21 Noviembre 1936. Lote de 2 billetes. Serie F y G. ED.D20A. MBC+"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18276/26a-subasta-online-24-05-16,"['25 Pesetas. Burgos, 21 Noviembre 1936. Serie E...', '25 Pesetas. Burgos, 21 Noviembre 1936. Serie E...']","['http://subastas.numismaticaycoleccionismo.es/imagenes/26898_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26898_b.jpg']","ESTADO ESPAÑOL, BANCO DE ESPAÑA",Lot 84,"25 Pesetas. Burgos, 21 Noviembre 1936. Serie E. ED.D20A. MBC+"
http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18277/26a-subasta-online-24-05-16,"['50 Pesetas. Burgos, 21 Noviembre 1936. Serie L...', '50 Pesetas. Burgos, 21 Noviembre 1936. Serie L...']","['http://subastas.numismaticaycoleccionismo.es/imagenes/26894_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26894_b.jpg']","ESTADO ESPAÑOL, BANCO DE ESPAÑA",Lot 85,"50 Pesetas. Burgos, 21 Noviembre 1936. Serie L. ED.D21A. EBC. EBC-"
