img_url,lote,url,descripcion,apartado,img_desc,lotehead,precio,numerolote
"['http://subastas.numismaticaycoleccionismo.es/imagenes/26855_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26855_b.jpg']",Lot 213,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18405/26a-subasta-online-24-05-16,1000 Pesetas. 12 Octubre 1992. Sin serie. Pareja correlativa. ED.E9. Mancha de la propia tinta en el margen. SC,JUAN CARLOS I. BANCO DE ESPAÑA,"['1000 Pesetas. 12 Octubre 1992. Sin serie...', '1000 Pesetas. 12 Octubre 1992. Sin serie...']",['Lot No 213: 26ª Subasta Online · 24.05.16'],15 €,18405
"['http://subastas.numismaticaycoleccionismo.es/imagenes/26853_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26853_b.jpg']",Lot 214,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18406/26a-subasta-online-24-05-16,5000 Pesetas. 12 Octubre 1992. Sin serie. ED.E10. SC,JUAN CARLOS I. BANCO DE ESPAÑA,"['5000 Pesetas. 12 Octubre 1992. Sin serie...', '5000 Pesetas. 12 Octubre 1992. Sin serie...']",['Lot No 214: 26ª Subasta Online · 24.05.16'],32 €,18406
"['http://subastas.numismaticaycoleccionismo.es/imagenes/27049_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/27049_b.jpg']",Lot 215,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18407/26a-subasta-online-24-05-16,5000 Pesetas. 12 Octubre 1992. Serie A. Muy curiosa numeración. ED.E10A. SC,JUAN CARLOS I. BANCO DE ESPAÑA,"['5000 Pesetas. 12 Octubre 1992. Serie A. Muy curiosa numeración...', '5000 Pesetas. 12 Octubre 1992. Serie A. Muy curiosa numeración...']",['Lot No 215: 26ª Subasta Online · 24.05.16'],41 €,18407
"['http://subastas.numismaticaycoleccionismo.es/imagenes/26856_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26856_b.jpg']",Lot 216,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18408/26a-subasta-online-24-05-16,10000 Pesetas. 12 Octubre 1992. Sin serie. ED.E11. SC,JUAN CARLOS I. BANCO DE ESPAÑA,"['10000 Pesetas. 12 Octubre 1992. Sin serie...', '10000 Pesetas. 12 Octubre 1992. Sin serie...']",['Lot No 216: 26ª Subasta Online · 24.05.16'],70 €,18408
['http://subastas.numismaticaycoleccionismo.es/imagenes/27074_a.jpg'],Lot 217,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18409/26a-subasta-online-24-05-16,10000 Pesetas. 12 Octubre 1992. Serie 9A. Pareja correlativa. ED.E11B. SC,JUAN CARLOS I. BANCO DE ESPAÑA,['10000 Pesetas. 12 Octubre 1992. Serie 9A...'],['Lot No 217: 26ª Subasta Online · 24.05.16'],130 €,18409
['http://subastas.numismaticaycoleccionismo.es/imagenes/26946_a.jpg'],Lot 218,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18410/26a-subasta-online-24-05-16,"50 Centavos. Habana, 15 Mayo 1896. Lote de 9 billetes. ED.CU67. MBC a BC+",BANCO ESPAÑOL DE LA ISLA DE CUBA,"['50 Centavos. Habana, 15 Mayo 1896. Lote de 9 billetes...']",['Lot No 218: 26ª Subasta Online · 24.05.16'],18 €,18410
['http://subastas.numismaticaycoleccionismo.es/imagenes/26947_a.jpg'],Lot 219,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18411/26a-subasta-online-24-05-16,"1 Peso. Habana, 15 Mayo 1896. Lote de 8 billetes. ED.CU68. MBC+ a MBC-",BANCO ESPAÑOL DE LA ISLA DE CUBA,"['1 Peso. Habana, 15 Mayo 1896. Lote de 8 billetes...']",['Lot No 219: 26ª Subasta Online · 24.05.16'],16 €,18411
['http://subastas.numismaticaycoleccionismo.es/imagenes/26945_a.jpg'],Lot 220,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18412/26a-subasta-online-24-05-16,"20 Centavos. Habana, 15 Febrero 1897. Lote de 10 billetes correlativos. ED.CU82. SC a SC-",BANCO ESPAÑOL DE LA ISLA DE CUBA,"['20 Centavos. Habana, 15 Febrero 1897. Lote de 10 billetes correlativos...']",['Lot No 220: 26ª Subasta Online · 24.05.16'],33 €,18412
"['http://subastas.numismaticaycoleccionismo.es/imagenes/26996_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26996_b.jpg']",Lot 221,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18413/26a-subasta-online-24-05-16,"20 Céntimos. Agramunt (Lérida), Ay. 30 Septiembre 1938. MBC-",BILLETES LOCALES,"['20 Céntimos. Agramunt (Lérida), Ay. 30 Septiembre 1938...', '20 Céntimos. Agramunt (Lérida), Ay. 30 Septiembre 1938...']",['Lot No 221: 26ª Subasta Online · 24.05.16'],12 €,18413
"['http://subastas.numismaticaycoleccionismo.es/imagenes/27000_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/27000_b.jpg']",Lot 222,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18414/26a-subasta-online-24-05-16,"1 Peseta. Aguilar de Segarra (Barcelona), C.M. 27 Abril 1937. EBC",BILLETES LOCALES,"['1 Peseta. Aguilar de Segarra (Barcelona), C...', '1 Peseta. Aguilar de Segarra (Barcelona), C...']",['Lot No 222: 26ª Subasta Online · 24.05.16'],10 €,18414
"['http://subastas.numismaticaycoleccionismo.es/imagenes/26997_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26997_b.jpg']",Lot 223,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18415/26a-subasta-online-24-05-16,"50 Céntimos. Agullana (Gerona), Ay. Muy escaso. BC",BILLETES LOCALES,"['50 Céntimos. Agullana (Gerona), Ay. Muy escaso...', '50 Céntimos. Agullana (Gerona), Ay. Muy escaso...']",['Lot No 223: 26ª Subasta Online · 24.05.16'],30 €,18415
"['http://subastas.numismaticaycoleccionismo.es/imagenes/26998_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26998_b.jpg']",Lot 224,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18416/26a-subasta-online-24-05-16,"1 Peseta. Agullana (Gerona), Ay. Falta en pico, si no BC-. Escaso",BILLETES LOCALES,"['1 Peseta. Agullana (Gerona), Ay. Falta en pico, si no BC-...', '1 Peseta. Agullana (Gerona), Ay. Falta en pico, si no BC-...']",['Lot No 224: 26ª Subasta Online · 24.05.16'],15 €,18416
"['http://subastas.numismaticaycoleccionismo.es/imagenes/26999_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26999_b.jpg']",Lot 225,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18417/26a-subasta-online-24-05-16,"1 Peseta. Agullana (Gerona), Ay. Tampón azul. Rotura central por doblez, si no BC. Muy escaso",BILLETES LOCALES,"['1 Peseta. Agullana (Gerona), Ay. Tampón azul...', '1 Peseta. Agullana (Gerona), Ay. Tampón azul...']",['Lot No 225: 26ª Subasta Online · 24.05.16'],30 €,18417
"['http://subastas.numismaticaycoleccionismo.es/imagenes/26995_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26995_b.jpg']",Lot 226,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18418/26a-subasta-online-24-05-16,"5 Céntimos. Aigües Tosses (Barcelona), Ay. Tampón en rev. Cartón. MBC+",BILLETES LOCALES,"['5 Céntimos. Aigües Tosses (Barcelona), Ay...', '5 Céntimos. Aigües Tosses (Barcelona), Ay...']",['Lot No 226: 26ª Subasta Online · 24.05.16'],12 €,18418
"['http://subastas.numismaticaycoleccionismo.es/imagenes/26958_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/26958_b.jpg']",Lot 227,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18419/26a-subasta-online-24-05-16,"1 Peseta. Alcañiz (Teruel), C.M. Junio 1937. BC+",BILLETES LOCALES,"['1 Peseta. Alcañiz (Teruel), C.M. Junio 1937...', '1 Peseta. Alcañiz (Teruel), C.M. Junio 1937...']",['Lot No 227: 26ª Subasta Online · 24.05.16'],5 €,18419
"['http://subastas.numismaticaycoleccionismo.es/imagenes/27071_a.jpg', 'http://subastas.numismaticaycoleccionismo.es/imagenes/27071_b.jpg']",Lot 228,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18420/26a-subasta-online-24-05-16,"1 Peseta. Alhama (Murcia), Ay. 1937. Serie D. SC",BILLETES LOCALES,"['1 Peseta. Alhama (Murcia), Ay. 1937. Serie D...', '1 Peseta. Alhama (Murcia), Ay. 1937. Serie D...']",['Lot No 228: 26ª Subasta Online · 24.05.16'],10 €,18420
['http://subastas.numismaticaycoleccionismo.es/imagenes/26959_a.jpg'],Lot 229,http://subastas.numismaticaycoleccionismo.es//index/viewBatch/18421/26a-subasta-online-24-05-16,"Almansa (Albacete), C.M. Lote de 2 billetes. 50 Céntimos y 1 Peseta. El de peseta presenta mancha del tiempo. Escaso. MBC+ a MBC-",BILLETES LOCALES,"['Almansa (Albacete), C.M. Lote de 2 billetes...']",['Lot No 229: 26ª Subasta Online · 24.05.16'],30 €,18421
